Id,Col_1,Col_2,Col_5,Col_6,Col_7,Col_10,Col_13,Col_14,Col_16,Col_18,Col_19,Col_21,Col_23,Col_26,Col_30,Col_31,impact_encoded_Col_3,impact_encoded_Col_4,impact_encoded_Col_8,impact_encoded_Col_9,impact_encoded_Col_11,impact_encoded_Col_12,impact_encoded_Col_15,impact_encoded_Col_17,impact_encoded_Col_20,impact_encoded_Col_22,impact_encoded_Col_24,impact_encoded_Col_25,impact_encoded_Col_27,impact_encoded_Col_28,impact_encoded_Col_29,impact_encoded_Col_32,Score
25,1,0,0,1,16,20,0,40,5,0,1,1,1,9,5,15,0,0,2,3,2,5,1,0,0,0,1,0,1,0,1,1,1
26,10,0,0,5,18,3,1,67,8,1,1,1,1,3,5,3,2,1,4,1,2,5,1,0,0,0,1,1,1,0,1,1,1
27,10,0,1,3,18,20,2,90,21,4,0,5,1,8,15,18,2,1,4,1,3,7,17,8,0,0,1,1,7,0,1,1,4
28,13,6,0,1,6,16,0,68,8,0,0,5,3,9,10,0,1,0,3,1,3,5,17,5,0,0,1,0,7,0,1,1,4
29,16,6,0,2,3,11,1,89,7,1,0,5,2,20,15,18,2,0,4,1,2,0,8,0,1,0,1,0,1,0,1,1,3
30,17,10,0,4,0,20,1,37,13,0,1,0,2,14,10,3,3,0,3,1,3,1,10,5,1,0,1,0,5,0,2,1,4
31,0,6,0,0,7,14,1,63,12,3,1,3,1,7,15,15,0,0,3,1,2,5,8,2,1,0,1,0,1,0,1,1,4
32,14,0,0,1,12,5,1,25,17,1,0,2,1,2,0,12,1,0,4,1,2,3,8,2,1,0,1,0,1,0,1,1,5
33,10,1,0,4,13,0,0,82,9,0,5,4,3,9,5,15,0,1,4,1,2,5,0,5,0,0,1,1,1,0,1,1,1
34,21,0,0,2,12,0,0,30,23,0,0,3,1,9,5,9,1,0,2,1,3,2,10,5,1,1,1,0,5,7,1,1,1
35,10,5,0,1,5,19,1,68,5,2,1,6,1,7,5,18,0,0,4,1,2,5,8,0,0,0,1,0,0,1,1,1,1
36,17,1,0,1,13,6,1,40,17,4,0,0,1,7,5,9,1,0,0,1,2,2,1,2,1,0,1,0,0,0,1,0,1
37,14,5,0,0,5,19,1,25,5,1,8,5,1,14,10,18,0,0,4,1,3,0,10,7,0,0,1,0,6,0,1,0,4
38,21,10,0,3,6,12,1,44,12,3,3,5,1,5,15,18,0,0,2,1,3,7,10,6,0,0,1,0,7,0,1,1,10
39,17,6,0,2,18,0,3,87,11,4,0,1,1,4,15,0,1,1,4,1,2,7,8,2,0,0,1,1,1,0,1,1,17
40,14,10,0,1,4,2,1,91,9,1,0,2,1,14,15,12,0,0,4,1,3,1,10,8,1,1,1,0,5,0,1,1,1
41,1,5,0,1,7,0,1,9,10,4,1,2,1,6,10,18,1,0,3,1,2,5,1,5,1,1,1,0,9,0,1,1,11
42,15,1,0,2,13,14,1,73,20,1,0,3,1,6,15,12,2,1,4,1,3,5,12,8,0,0,1,1,5,0,1,1,1
43,12,6,0,0,6,0,3,53,7,3,5,4,4,10,5,0,0,0,2,1,3,7,17,6,0,0,1,0,5,0,1,1,1
44,9,1,0,6,15,12,1,41,10,2,6,5,0,12,5,15,0,0,0,1,2,5,8,1,0,0,0,0,0,0,1,0,13
45,14,6,0,2,11,5,1,53,18,1,0,3,1,3,15,18,1,0,0,1,3,5,9,5,1,0,1,0,5,0,1,0,5
46,14,1,0,2,3,19,1,46,9,1,1,6,1,14,5,18,0,0,0,1,4,0,13,7,1,0,1,0,5,0,1,0,3
47,5,6,0,3,16,15,0,60,7,0,1,6,2,8,15,18,0,0,0,1,2,0,1,0,0,1,1,0,3,0,1,0,4
48,17,1,0,0,10,17,0,40,12,0,0,3,1,15,15,6,2,0,4,1,3,5,10,8,0,1,1,0,5,0,1,1,2
49,19,0,0,2,11,15,0,25,13,0,0,5,3,3,5,18,2,0,4,1,3,0,10,8,0,0,1,0,5,4,1,1,1
50,0,1,0,0,16,5,0,51,6,0,0,2,2,5,5,9,1,0,4,1,3,5,17,5,0,0,1,0,7,0,1,1,4
51,0,6,0,0,15,8,1,50,10,1,0,5,1,3,5,9,1,0,0,1,2,5,8,1,0,0,1,0,1,0,1,0,7
52,8,0,0,5,1,24,1,42,10,1,4,6,1,7,10,15,0,0,4,1,3,5,17,8,1,0,1,0,5,0,1,1,1
53,18,6,0,3,8,0,2,21,8,6,0,6,1,3,15,9,1,0,0,1,2,0,0,5,1,1,1,0,9,0,1,0,8
54,12,5,0,1,1,24,2,60,17,0,0,4,1,20,5,18,0,0,4,1,0,1,2,0,1,0,1,0,4,5,0,1,1
55,11,10,0,1,11,10,2,31,9,2,8,0,3,13,5,15,0,0,4,1,2,5,1,2,1,1,2,0,1,0,1,1,2
56,17,10,0,3,14,11,1,58,14,2,0,2,1,5,5,15,1,0,4,1,2,0,0,2,1,0,1,0,1,0,1,0,1
57,1,1,0,1,12,4,0,78,10,0,0,6,1,3,10,18,1,0,4,1,4,5,10,5,0,0,1,0,11,0,3,1,10
58,6,5,1,4,10,19,5,80,2,5,10,6,1,13,15,0,0,1,4,1,2,1,8,2,0,1,1,1,9,0,1,1,1
59,9,1,0,4,3,8,1,63,8,1,1,3,3,16,10,9,0,0,4,1,3,0,12,6,1,0,1,0,5,0,1,1,1
60,17,1,0,0,4,9,1,71,6,1,0,0,3,7,10,18,0,0,2,1,3,1,13,8,1,0,1,0,10,0,1,1,2
61,7,10,0,3,14,13,0,59,13,0,5,4,1,12,5,18,0,0,0,1,3,5,17,8,1,0,1,0,7,0,1,0,7
62,16,10,0,0,18,15,2,44,16,6,0,4,1,10,10,18,2,0,4,1,2,5,1,2,1,0,2,0,1,0,1,1,1
63,21,6,0,7,13,5,0,83,14,0,2,3,3,6,10,18,0,0,4,1,2,2,3,5,0,0,1,0,9,0,1,1,1
64,18,1,0,4,18,15,0,63,15,0,10,2,1,16,5,18,0,1,3,1,2,5,0,5,0,1,1,1,1,0,1,1,1
65,21,1,0,1,14,23,1,78,14,1,2,0,1,14,10,15,0,0,4,3,2,7,4,2,0,0,1,0,1,0,1,0,1
66,16,1,0,4,5,20,1,45,10,3,5,2,4,6,0,9,0,0,3,1,2,2,0,0,0,1,1,0,1,0,1,1,1
67,15,6,0,3,5,20,1,59,5,1,8,2,1,12,5,18,0,0,1,1,3,0,13,8,0,0,1,0,5,0,0,0,4
68,12,10,0,5,8,14,1,91,19,1,10,0,2,13,5,15,0,0,2,1,3,5,10,8,1,0,1,0,5,0,1,1,2
69,17,6,0,0,5,22,0,73,9,0,0,5,3,12,15,12,0,0,4,1,2,0,1,0,0,0,1,0,1,0,1,1,4
70,16,6,0,3,2,19,1,81,13,4,3,4,1,7,10,18,0,0,0,1,2,5,8,1,0,1,1,0,9,0,1,0,4
71,4,6,0,2,6,12,3,91,9,3,0,6,3,9,15,15,2,1,4,1,2,0,0,0,1,1,1,1,1,0,1,1,5
72,18,6,0,0,14,13,0,94,13,1,5,0,1,12,10,9,0,1,4,1,2,7,4,2,0,0,1,1,1,0,3,1,6
73,16,1,0,5,7,17,0,75,13,0,3,5,1,14,5,18,0,0,2,1,3,5,17,8,1,1,1,0,5,0,2,1,5
74,23,6,0,6,12,5,0,61,9,0,0,3,1,3,15,3,1,0,4,1,3,0,10,5,1,1,3,0,5,0,1,1,1
75,16,10,0,4,18,18,0,47,8,0,10,4,1,12,10,15,0,0,0,1,2,5,6,0,1,0,1,0,1,0,1,0,4
76,10,10,0,1,18,0,3,88,16,6,0,2,1,3,15,9,1,1,4,1,3,7,10,5,1,1,1,1,7,2,1,1,6
77,12,1,0,2,16,8,0,57,11,0,3,6,1,13,0,18,0,0,4,1,0,0,8,0,0,1,1,0,1,0,1,1,1
78,4,10,0,2,6,4,3,97,5,3,3,3,1,13,5,15,0,1,4,1,2,0,8,0,0,0,1,1,1,0,1,1,1
79,14,10,0,6,16,8,1,75,7,1,5,0,3,10,10,18,0,1,3,1,2,7,8,1,1,0,1,1,1,0,1,1,1
80,5,0,0,3,11,18,1,30,9,1,3,3,3,8,5,18,0,0,4,1,2,5,0,5,0,0,1,0,1,0,1,1,1
81,14,6,0,2,17,15,0,57,6,4,10,2,1,15,5,6,0,0,3,1,3,5,10,8,0,0,1,0,5,0,1,1,7
82,15,5,0,3,1,3,1,49,9,1,0,0,1,8,10,15,1,0,0,1,2,2,4,0,1,0,1,0,9,0,1,0,5
83,5,5,0,0,4,9,1,85,2,1,0,1,3,8,5,12,2,1,4,1,3,0,9,8,1,0,1,1,5,0,1,1,1
84,2,1,0,0,5,23,1,76,8,1,0,2,3,13,15,9,0,1,4,1,3,0,10,6,1,0,1,1,11,0,1,1,4
85,6,10,0,4,15,16,1,41,10,1,1,5,1,14,10,18,0,0,0,1,0,3,1,1,1,0,1,0,1,1,1,0,7
86,9,5,0,6,16,0,0,85,5,0,3,4,1,8,0,6,0,0,0,1,3,5,10,8,0,0,1,0,7,0,1,0,1
87,17,1,0,1,14,6,0,54,10,0,0,4,1,8,5,6,1,0,0,1,3,5,17,5,0,1,1,0,7,0,1,0,2
88,7,1,0,2,8,20,0,36,13,0,3,5,3,8,15,18,0,0,0,1,2,5,4,2,0,0,1,0,1,0,1,0,7
89,8,10,0,3,18,1,3,28,13,3,6,3,1,11,15,15,0,0,0,1,3,7,9,6,1,1,1,0,7,0,1,0,1
90,5,6,0,3,8,7,1,47,8,1,0,3,1,8,15,12,0,0,3,1,3,5,13,8,1,0,1,0,5,0,1,1,13
91,14,1,0,1,4,0,0,53,7,0,1,0,1,10,5,0,2,0,4,1,2,2,6,0,0,0,1,0,2,2,1,1,5
92,6,5,0,4,2,7,1,71,13,3,4,3,2,8,15,18,0,0,2,1,0,5,1,5,0,0,1,0,1,5,1,1,1
93,3,1,0,2,5,20,1,82,15,3,2,0,2,7,15,15,0,0,2,1,0,5,8,1,0,1,1,0,1,0,1,1,4
94,16,6,0,1,5,1,1,32,8,1,2,5,3,13,5,0,0,0,4,1,3,0,17,6,1,0,1,0,5,0,1,1,3
95,5,10,0,3,6,11,0,55,8,0,4,1,3,13,15,18,0,0,4,1,2,0,1,0,0,0,1,0,1,0,1,0,2
96,11,5,0,4,8,6,1,60,12,4,4,3,1,6,10,18,0,0,4,1,2,5,4,5,0,0,1,0,1,0,1,1,1
97,5,6,1,3,11,0,3,56,33,3,0,5,3,13,15,18,1,0,4,1,3,5,17,5,1,0,1,0,7,0,1,1,1
98,17,1,0,0,4,11,1,61,8,1,7,3,1,18,10,18,0,0,0,1,2,5,1,0,1,0,1,0,1,0,1,0,2
99,1,6,0,1,13,0,0,78,15,0,0,3,1,3,15,15,1,0,3,1,2,2,8,5,1,0,1,0,1,0,1,1,1
100,17,1,0,0,13,2,1,95,14,1,5,2,1,13,15,9,0,1,4,1,2,5,8,1,1,0,1,1,9,0,1,1,1
101,17,1,0,3,0,21,1,46,17,1,6,2,1,3,15,18,1,0,4,1,0,5,1,0,1,0,1,0,9,0,1,1,4
102,5,0,0,3,14,16,1,14,17,3,4,6,3,6,5,9,0,0,2,1,3,0,10,6,1,0,1,0,5,0,1,1,3
103,8,10,0,1,4,18,0,36,11,0,5,3,3,16,10,18,0,0,4,1,3,0,10,6,0,0,1,0,5,0,1,1,3
104,17,1,0,0,2,16,0,70,7,0,9,6,1,19,5,18,0,0,3,1,3,5,10,8,1,0,1,0,5,0,1,1,1
105,11,10,0,4,11,12,1,36,17,1,5,2,1,10,0,9,2,0,4,1,3,2,13,8,0,1,1,0,5,4,1,0,7
106,16,10,0,2,7,19,1,97,17,1,11,2,1,16,10,9,0,0,2,1,2,5,1,2,1,0,1,0,1,0,1,1,1
107,13,10,0,4,6,16,0,93,7,0,5,5,1,14,15,6,0,1,4,1,3,0,10,6,0,0,1,1,5,0,1,1,1
108,2,10,0,1,2,17,1,80,14,1,1,0,1,16,10,18,0,0,4,1,3,5,10,8,0,1,1,0,5,0,1,1,1
109,10,10,0,2,6,19,1,57,10,2,1,2,3,3,5,12,0,0,4,1,2,0,1,0,1,0,1,0,1,0,1,1,7
110,3,1,0,2,17,6,0,27,4,0,0,3,1,5,5,18,0,0,4,1,2,2,8,2,0,0,2,0,9,0,1,1,11
111,7,6,0,4,4,15,1,65,5,1,2,5,3,10,10,15,0,0,4,1,2,7,1,0,0,1,1,0,1,0,1,1,4
112,4,6,0,0,16,7,1,31,8,3,0,6,1,7,5,18,1,0,0,1,3,5,17,5,0,1,1,0,7,0,1,0,1
113,16,10,0,1,7,12,2,77,13,3,1,2,1,8,10,12,0,0,2,1,2,0,1,2,1,0,1,0,1,0,1,1,2
114,14,10,0,4,11,0,3,72,17,3,0,3,1,7,5,3,1,1,4,1,2,5,0,5,1,1,1,1,9,0,1,1,4
115,6,1,0,3,7,13,0,60,12,0,3,2,1,13,5,12,0,0,4,1,2,5,4,5,1,1,1,0,1,0,1,1,1
116,17,1,0,3,8,16,1,62,16,1,1,0,1,3,10,9,0,0,0,1,0,0,0,5,1,0,1,0,1,0,1,0,4
117,5,10,0,1,9,15,2,28,16,3,5,6,3,10,15,3,2,1,4,1,2,5,4,2,1,0,1,1,9,0,1,1,2
118,13,0,0,0,7,5,3,83,11,3,5,3,1,13,0,0,0,1,4,1,2,0,1,5,0,1,1,0,1,0,1,1,1
119,5,5,0,3,3,16,0,65,7,0,0,5,3,14,15,15,0,0,3,3,3,7,13,6,0,1,1,0,11,0,1,1,1
120,7,5,0,5,7,16,3,77,14,3,4,3,1,11,10,9,0,0,0,1,3,5,10,8,1,1,1,0,5,0,3,0,1
121,9,0,0,1,12,0,1,31,10,2,6,6,1,10,10,18,4,0,4,1,2,7,8,2,1,1,1,0,9,0,1,1,1
122,5,1,0,3,17,8,2,56,16,2,0,4,4,13,10,3,1,1,0,3,0,0,8,5,1,0,1,1,1,0,1,0,1
123,6,6,0,0,14,5,1,21,14,1,0,2,1,1,15,9,1,0,4,1,2,5,8,2,1,0,1,0,1,0,1,1,1
124,11,10,0,2,1,23,0,53,10,1,1,5,2,14,15,9,0,0,4,1,2,1,1,0,1,0,1,0,1,5,1,1,1
125,17,6,0,4,8,16,2,98,11,2,8,5,1,12,10,6,0,0,4,3,3,7,10,6,0,0,1,0,5,0,2,1,16
126,19,10,0,0,12,8,1,45,14,1,0,6,3,4,10,18,1,0,4,1,2,5,1,2,1,0,1,0,1,0,1,1,4
127,16,1,0,1,15,15,3,58,7,5,1,2,1,12,5,12,0,1,2,1,2,0,4,0,1,0,1,1,1,0,1,1,4
128,8,0,0,0,17,4,1,43,6,1,0,2,1,9,15,3,2,0,4,1,2,7,1,0,1,0,1,0,1,0,3,1,1
129,16,6,0,0,8,15,1,98,12,1,11,5,1,21,10,3,0,0,4,1,3,5,17,8,0,1,1,0,5,0,1,1,1
130,8,1,0,5,1,17,1,89,10,1,2,0,1,3,15,18,2,1,4,1,2,1,8,0,1,0,2,1,1,5,1,1,6
131,17,5,0,2,9,2,0,17,8,0,0,6,1,13,15,18,1,0,0,1,2,5,8,0,0,0,1,0,9,1,1,0,3
132,2,5,0,1,2,23,1,31,9,1,0,5,1,7,5,18,2,0,4,1,2,5,1,5,1,1,1,0,1,5,1,1,7
133,12,6,0,0,1,16,1,35,8,1,0,5,1,3,15,15,2,0,3,1,2,5,1,0,1,0,1,0,1,0,1,1,5
134,11,6,0,4,1,23,1,55,15,1,0,3,2,12,5,18,0,0,4,0,2,1,2,0,0,0,1,0,1,5,1,1,1
135,17,6,0,2,0,20,1,20,17,3,1,3,3,16,5,18,0,0,2,1,0,1,1,0,0,0,1,0,0,0,1,0,1
136,3,6,0,2,15,20,1,58,8,1,1,6,3,4,5,15,0,0,0,1,3,0,17,6,0,1,1,0,6,0,1,0,1
137,9,1,0,1,3,16,1,53,6,3,1,0,3,3,10,3,0,0,4,1,4,5,10,8,0,0,1,0,7,0,1,1,18
138,6,1,1,4,18,8,1,47,21,1,0,2,3,9,5,6,0,0,2,3,3,5,10,8,0,1,1,0,11,0,1,1,4
139,18,6,0,7,7,19,1,86,12,1,4,4,1,4,10,6,0,1,4,1,3,0,17,6,1,1,1,1,5,0,1,1,3
140,18,6,0,3,14,0,1,52,10,1,3,1,1,5,15,15,0,0,1,1,3,5,10,8,0,0,1,0,5,0,1,1,2
141,11,6,0,2,1,22,1,51,12,0,0,3,1,6,5,15,1,0,4,1,2,1,4,0,1,1,1,0,4,5,1,1,1
142,7,10,0,5,16,11,0,59,8,0,0,6,3,3,15,0,1,0,0,1,0,5,0,0,0,0,3,0,1,0,1,0,1
143,17,1,0,0,5,21,0,85,9,0,0,3,3,15,5,15,0,0,4,1,3,0,13,6,1,0,1,0,7,0,1,0,2
144,16,6,0,1,15,15,1,45,6,1,10,6,1,18,5,15,0,0,3,1,3,5,11,8,0,0,1,0,5,0,1,1,6
145,7,6,0,5,3,8,1,49,9,1,0,2,3,13,15,12,1,1,0,1,2,5,1,2,1,0,1,0,1,0,1,0,7
146,17,6,0,4,5,17,1,24,6,1,7,5,3,16,15,18,0,0,4,1,3,5,13,8,0,1,1,0,5,0,1,1,23
147,21,1,0,3,8,8,1,42,16,1,0,3,1,2,10,12,1,0,4,1,3,7,10,5,1,0,1,0,5,0,1,1,2
148,17,6,0,6,13,20,1,62,7,2,7,5,1,12,10,12,0,0,0,1,4,7,13,6,1,1,1,0,5,0,1,0,12
149,19,6,0,1,10,0,1,65,15,1,1,5,2,2,5,12,0,0,4,1,3,5,13,8,0,1,1,0,7,0,1,1,4
150,0,10,0,0,11,0,0,15,12,0,0,6,1,3,10,18,1,0,0,1,3,5,10,5,1,0,1,0,5,0,1,0,7
151,9,10,0,1,7,20,1,91,11,5,1,4,2,8,10,9,0,0,0,1,2,0,1,2,0,1,1,0,1,0,1,0,1
152,3,1,0,1,14,9,1,31,14,1,0,3,1,2,15,0,1,0,0,1,3,5,12,5,0,0,1,0,7,0,1,0,1
153,12,0,0,1,7,12,1,93,9,1,1,4,1,8,5,18,0,1,4,1,3,5,10,8,0,0,1,1,8,0,1,1,4
154,13,6,0,3,0,20,1,33,13,4,0,6,3,7,5,15,0,0,3,1,3,1,13,8,1,0,1,0,5,0,1,1,1
155,6,1,0,2,12,21,1,53,21,1,0,0,3,4,15,9,2,0,4,1,2,5,8,5,1,0,1,0,9,0,1,1,2
156,18,10,0,5,8,23,0,66,11,0,11,5,1,18,10,15,0,0,2,1,3,7,17,6,1,1,1,0,6,0,1,1,5
157,11,10,0,3,13,16,0,68,9,0,0,3,1,2,15,12,1,0,0,1,2,2,8,5,0,0,1,0,1,0,1,0,1
158,12,10,0,0,6,16,1,13,6,1,0,5,3,6,15,15,0,0,4,1,2,0,8,0,0,0,1,0,1,0,1,1,4
159,18,5,0,8,2,0,0,74,9,0,0,2,1,11,15,9,2,0,4,1,3,1,17,8,1,0,1,0,5,1,1,0,9
160,22,10,1,3,10,15,1,46,18,1,0,2,1,4,15,18,2,0,4,1,3,5,10,8,0,0,1,0,5,0,0,1,1
161,6,6,0,3,9,19,1,91,14,1,3,5,1,5,5,18,0,1,2,1,2,5,8,2,0,1,1,1,9,0,1,1,1
162,22,5,0,1,8,23,1,55,14,1,0,4,1,1,5,18,0,0,4,1,2,5,3,2,0,1,1,0,1,0,1,1,8
163,3,1,0,2,15,1,1,86,7,1,1,1,1,11,15,15,2,1,4,1,2,4,1,0,1,0,1,1,1,0,1,1,10
164,4,1,0,2,5,18,1,85,6,1,2,2,1,9,5,3,0,1,4,1,2,5,1,0,0,1,1,1,1,0,3,1,7
165,6,10,0,0,7,16,1,22,14,1,1,3,2,9,10,15,0,0,4,1,3,5,17,8,1,0,1,0,5,0,1,1,5
166,5,10,0,3,18,4,1,36,14,1,0,5,1,2,15,6,1,0,0,1,2,5,1,2,0,1,1,0,1,0,1,0,1
167,14,10,0,3,10,17,1,52,8,1,0,2,1,4,5,15,1,0,4,1,3,5,9,5,1,0,1,0,7,0,2,1,4
168,4,5,0,0,13,12,1,99,12,1,10,2,1,15,0,9,0,0,4,1,3,5,17,8,1,0,1,0,5,0,3,1,1
169,14,10,0,3,13,17,1,78,13,3,0,6,1,9,5,18,2,1,3,1,2,0,8,5,1,1,1,1,1,0,1,1,1
170,14,0,0,1,7,6,1,47,8,1,0,6,1,10,5,9,1,0,0,1,3,5,17,5,1,0,1,0,5,0,1,0,4
171,9,1,0,3,4,16,1,69,9,3,4,6,3,9,10,9,0,0,4,1,0,0,1,0,0,0,1,0,1,0,1,1,1
172,3,6,0,2,4,11,1,90,7,1,0,3,3,1,10,6,2,0,4,1,2,1,1,0,1,0,1,0,1,0,1,1,1
173,1,6,0,1,13,1,1,62,7,1,3,0,1,8,15,9,0,1,2,1,3,2,10,8,0,0,1,1,10,0,1,0,8
174,19,10,0,5,14,17,1,58,15,1,5,3,1,15,10,18,0,0,0,1,2,2,8,2,0,0,1,0,1,0,1,0,2
175,17,10,0,4,9,0,1,38,11,1,2,5,1,10,5,12,1,0,4,1,3,5,10,5,0,0,1,0,7,0,1,0,8
176,17,1,0,3,18,13,1,70,21,3,0,4,1,5,15,9,1,0,0,1,2,0,4,0,1,0,1,0,1,0,1,0,3
177,19,10,0,3,11,3,0,36,11,0,0,2,3,5,10,18,0,0,4,1,2,5,0,2,0,0,1,0,9,0,1,1,4
178,1,5,2,0,10,14,1,85,28,2,3,2,1,9,5,3,0,1,2,1,2,0,8,2,1,0,1,1,1,0,3,1,2
179,9,1,0,2,2,20,2,36,13,4,3,1,1,3,10,15,0,0,4,1,3,5,9,8,1,1,1,0,11,0,1,1,4
180,3,6,0,2,8,16,1,43,10,1,2,3,3,12,15,15,0,0,4,1,3,5,12,8,0,0,1,0,5,0,1,1,1
181,1,6,0,1,1,2,1,58,22,1,0,5,1,4,15,3,0,0,4,1,2,5,8,0,1,1,1,0,9,0,1,1,4
182,18,6,0,1,7,11,1,84,12,1,2,4,1,4,0,18,0,1,4,1,4,0,13,6,0,0,1,1,5,0,1,1,7
183,8,10,0,3,8,0,0,62,11,1,2,4,1,15,10,3,1,0,0,1,3,0,10,5,1,0,1,0,7,0,1,0,2
184,4,5,0,0,4,10,1,21,8,1,0,2,3,9,5,9,0,0,4,1,4,6,17,6,0,0,1,0,7,2,1,1,1
185,20,10,0,4,0,21,1,42,27,0,3,2,1,9,15,9,1,0,3,1,0,5,4,0,1,0,1,0,1,0,1,1,1
186,5,6,0,3,1,17,1,92,15,1,0,5,1,11,15,12,0,0,4,1,4,5,17,8,0,1,2,0,5,0,0,1,4
187,4,6,0,2,17,5,0,41,8,2,0,1,3,5,10,0,2,0,3,1,3,5,10,8,1,0,1,0,5,0,1,1,4
188,5,10,0,3,2,18,1,49,11,4,3,6,1,7,10,6,0,0,4,1,2,5,1,5,0,0,1,0,9,0,1,1,1
189,12,1,0,4,10,5,1,65,14,4,3,6,1,9,15,12,0,1,4,1,3,5,17,8,0,0,1,1,5,6,1,1,4
190,13,5,0,0,5,10,1,39,7,1,0,6,3,4,5,18,0,0,4,1,2,0,0,0,1,0,1,0,9,0,1,1,5
191,16,10,0,3,18,0,0,49,12,1,0,2,1,10,15,12,0,0,0,1,2,0,0,5,1,1,1,0,1,0,1,0,1
192,15,1,0,4,4,6,1,92,5,1,0,2,1,7,5,12,2,1,4,1,3,0,9,8,0,0,1,1,7,0,1,1,1
193,22,1,0,0,12,16,1,75,14,1,1,5,1,6,10,12,0,0,4,1,3,0,10,8,1,0,3,0,10,0,1,0,4
194,21,6,0,3,12,18,1,60,20,1,8,0,2,15,15,9,0,0,4,1,2,5,8,2,0,0,1,0,9,0,1,1,7
195,18,10,0,1,3,15,1,83,11,1,4,3,2,6,5,18,0,1,4,1,2,5,4,5,1,0,1,1,1,0,1,1,1
196,9,6,0,4,10,8,1,66,9,1,0,6,1,8,5,9,0,0,4,1,2,5,3,2,0,0,1,0,9,0,1,1,5
197,15,6,0,2,17,22,1,24,7,1,4,2,1,10,15,9,0,0,4,1,0,0,8,0,1,0,1,0,1,0,1,1,6
