Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,impact_encoded_Col_3,impact_encoded_Col_4,impact_encoded_Col_8,impact_encoded_Col_9,impact_encoded_Col_11,impact_encoded_Col_12,impact_encoded_Col_15,impact_encoded_Col_17,impact_encoded_Col_20,impact_encoded_Col_22,impact_encoded_Col_24,impact_encoded_Col_25,impact_encoded_Col_27,impact_encoded_Col_28,impact_encoded_Col_29,impact_encoded_Col_32
17,1,a,a,0,1,17,a,b,17,c,f,1,29,i,12,f,1,3,a,1,a,1,b,a,18,b,a,b,10,9,a,4.041636477,4.01820237,3.821227377,3.992100297,3.537367733,4.337362962,3.795033168,4.00498571,4.029735504,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
12,0,b,a,0,1,11,b,b,0,c,f,1,43,a,12,c,1,0,a,2,b,1,b,a,2,b,a,b,5,6,a,3.724885506,4.01820237,4.865823917,3.992100297,3.537367733,4.337362962,3.235159646,3.693053328,4.029735504,3.991403243,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
13,10,a,a,0,0,6,e,b,23,d,a,1,50,k,7,i,1,0,b,3,b,1,c,a,4,f,a,b,10,15,b,4.041636477,4.01820237,3.957420699,3.992100297,4.599954428,3.638751344,4.583380534,4.711941898,3.972195449,3.991403243,6.533915954,4.01753988,4.61916559,4.039580635,3.875914521,4.014364698
12,1,a,a,0,1,4,e,b,6,e,f,0,45,j,7,i,0,3,a,3,b,1,b,a,11,f,a,b,0,0,b,4.041636477,4.01820237,3.957420699,3.992100297,4.537016496,4.337362962,4.695554616,4.711941898,4.029735504,3.991403243,3.935452502,4.01753988,4.61916559,4.039580635,3.875914521,4.014364698
0,6,a,a,0,0,5,e,b,3,c,a,1,51,g,8,a,1,0,b,6,b,3,b,a,3,b,a,b,5,12,b,4.041636477,4.01820237,3.957420699,3.992100297,3.537367733,3.638751344,4.1032205,3.127327437,3.972195449,3.991403243,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,4.014364698
18,6,b,a,0,0,1,e,b,23,c,b,1,54,a,15,a,0,6,a,3,a,1,b,a,10,j,a,b,10,18,b,3.724885506,4.01820237,3.957420699,3.992100297,3.537367733,3.062433287,3.235159646,3.127327437,4.029735504,4.01037389,3.935452502,4.01753988,3.92224524,4.039580635,3.875914521,4.014364698
16,1,a,a,0,5,9,c,b,15,c,f,1,19,b,19,f,4,8,b,1,a,1,b,a,17,j,a,b,10,6,b,4.041636477,4.01820237,4.231280828,3.992100297,3.537367733,4.337362962,3.07903989,4.00498571,3.972195449,4.01037389,3.935452502,4.01753988,3.92224524,4.039580635,3.875914521,4.014364698
3,10,a,a,0,2,7,d,d,20,c,a,2,90,c,14,c,3,1,a,0,a,3,b,a,7,j,a,b,5,6,b,4.041636477,4.01820237,4.199601087,3.81890334,3.537367733,3.638751344,2.725832753,3.693053328,4.029735504,4.01037389,3.935452502,4.01753988,3.92224524,4.039580635,3.875914521,4.014364698
18,1,b,a,0,7,13,e,b,14,c,h,1,83,e,9,c,1,0,b,4,a,1,b,a,3,b,a,b,15,12,b,3.724885506,4.01820237,3.957420699,3.992100297,3.537367733,4.312896885,3.811011832,3.693053328,3.972195449,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,4.014364698
11,10,a,b,0,2,3,e,b,16,d,f,1,89,l,7,i,1,2,b,2,b,2,b,b,17,f,a,b,10,18,b,4.041636477,3.945745585,3.957420699,3.992100297,4.599954428,4.337362962,4.642448137,4.711941898,3.972195449,3.991403243,3.935452502,3.944777884,4.61916559,4.039580635,3.875914521,4.014364698
4,1,b,b,0,1,3,e,b,0,d,f,1,42,k,6,f,1,0,b,5,b,2,b,b,6,f,a,b,5,15,b,3.724885506,3.945745585,3.957420699,3.992100297,4.599954428,4.337362962,4.583380534,4.00498571,3.972195449,3.991403243,3.935452502,3.944777884,4.61916559,4.039580635,3.875914521,4.014364698
17,1,d,a,0,7,8,d,b,3,d,f,0,70,k,10,f,0,9,a,5,a,1,b,a,17,f,a,b,5,15,b,4.933034346,4.01820237,4.199601087,3.992100297,4.599954428,4.337362962,4.583380534,4.00498571,4.029735504,4.01037389,3.935452502,4.01753988,4.61916559,4.039580635,3.875914521,4.014364698
5,6,b,b,0,2,11,e,b,0,d,f,0,72,r,13,f,2,0,b,0,b,1,a,b,14,f,a,d,5,9,b,3.724885506,3.945745585,3.957420699,3.992100297,4.599954428,4.337362962,4.544789047,4.00498571,3.972195449,3.991403243,4.116537882,3.944777884,4.61916559,4.039580635,3.899052176,4.014364698
5,1,b,a,0,3,11,a,b,0,d,f,1,33,r,10,f,1,0,b,3,a,1,b,a,3,f,a,b,10,18,a,3.724885506,4.01820237,3.821227377,3.992100297,4.599954428,4.337362962,4.544789047,4.00498571,3.972195449,4.01037389,3.935452502,4.01753988,4.61916559,4.039580635,3.875914521,3.977557721
7,10,a,a,0,4,7,e,b,2,d,f,1,73,r,8,i,4,5,a,3,a,1,b,a,12,h,a,b,10,15,b,4.041636477,4.01820237,3.957420699,3.992100297,4.599954428,4.337362962,4.544789047,4.711941898,4.029735504,4.01037389,3.935452502,4.01753988,4.530829172,4.039580635,3.875914521,4.014364698
2,0,a,a,0,1,5,e,b,1,d,a,0,39,r,8,i,0,0,a,5,a,3,b,a,7,f,a,b,5,9,b,4.041636477,4.01820237,3.957420699,3.992100297,4.599954428,3.638751344,4.544789047,4.711941898,4.029735504,4.01037389,3.935452502,4.01753988,4.61916559,4.039580635,3.875914521,4.014364698
8,1,a,a,0,2,16,c,b,20,c,f,1,48,b,7,a,1,1,b,2,b,3,b,a,5,b,a,b,10,12,a,4.041636477,4.01820237,4.231280828,3.992100297,3.537367733,4.337362962,3.07903989,3.127327437,3.972195449,3.991403243,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
7,0,a,a,0,5,18,e,b,0,c,f,1,48,i,6,a,1,0,b,3,a,1,b,a,1,b,a,b,10,9,b,4.041636477,4.01820237,3.957420699,3.992100297,3.537367733,4.337362962,3.795033168,3.127327437,3.972195449,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,4.014364698
17,1,a,a,0,1,3,e,b,4,c,g,1,32,g,7,b,1,9,b,4,a,3,b,a,13,b,a,b,5,12,b,4.041636477,4.01820237,3.957420699,3.992100297,3.537367733,3.915098531,4.1032205,4.121576051,3.972195449,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,4.014364698
9,6,a,b,1,2,11,e,d,7,d,f,1,50,p,12,i,1,7,b,3,a,1,b,b,15,h,a,b,10,9,b,4.041636477,3.945745585,3.957420699,3.81890334,4.599954428,4.337362962,4.988862618,4.711941898,3.972195449,4.01037389,3.935452502,3.944777884,4.530829172,4.039580635,3.875914521,4.014364698
13,10,a,a,0,1,5,e,b,7,d,a,0,48,r,10,g,0,3,a,5,a,2,b,a,13,h,a,b,0,3,b,4.041636477,4.01820237,3.957420699,3.992100297,4.599954428,3.638751344,4.544789047,4.391946448,4.029735504,4.01037389,3.935452502,4.01753988,4.530829172,4.039580635,3.875914521,4.014364698
1,10,b,a,0,1,12,a,b,11,c,c,0,12,a,12,c,1,0,a,0,b,1,b,a,4,b,a,b,10,9,a,3.724885506,4.01820237,3.821227377,3.992100297,3.537367733,3.749206554,3.235159646,3.693053328,4.029735504,3.991403243,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
4,1,a,a,0,1,1,e,b,21,d,b,3,45,r,10,i,4,5,a,4,b,3,b,a,12,f,f,b,5,18,b,4.041636477,4.01820237,3.957420699,3.992100297,4.599954428,3.062433287,4.544789047,4.711941898,4.029735504,3.991403243,3.935452502,4.01753988,4.61916559,2.41415559,3.875914521,4.014364698
16,1,a,a,0,4,5,e,b,7,c,a,1,56,b,8,a,1,0,b,5,b,1,b,a,2,b,a,b,5,3,b,4.041636477,4.01820237,3.957420699,3.992100297,3.537367733,3.638751344,3.07903989,3.127327437,3.972195449,3.991403243,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,4.014364698
2,10,c,b,0,1,7,e,d,12,c,f,1,56,a,14,f,1,2,b,5,a,1,b,b,13,b,a,b,5,18,b,4.151623752,3.945745585,3.957420699,3.81890334,3.537367733,4.337362962,3.235159646,4.00498571,3.972195449,4.01037389,3.935452502,3.944777884,3.325742752,4.039580635,3.875914521,4.014364698
7,0,b,a,0,1,14,a,b,0,d,f,1,66,r,8,f,1,0,a,5,b,1,b,a,15,l,a,b,0,18,a,3.724885506,4.01820237,3.821227377,3.992100297,4.599954428,4.337362962,4.544789047,4.00498571,4.029735504,3.991403243,3.935452502,4.01753988,4.075198273,4.039580635,3.875914521,3.977557721
12,0,b,a,0,1,1,e,b,21,d,g,0,46,r,12,f,3,7,a,5,a,1,b,a,7,h,b,b,5,18,b,3.724885506,4.01820237,3.957420699,3.992100297,4.599954428,3.915098531,4.544789047,4.00498571,4.029735504,4.01037389,3.935452502,4.01753988,4.530829172,5.39119517,3.875914521,4.014364698
4,5,c,a,0,3,18,d,b,17,c,f,1,45,c,5,a,2,0,a,6,a,3,b,a,3,b,a,b,5,15,b,4.151623752,4.01820237,4.199601087,3.992100297,3.537367733,4.337362962,2.725832753,3.127327437,4.029735504,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,4.014364698
3,6,b,b,0,2,3,e,b,12,d,f,1,72,r,5,f,3,0,a,3,b,2,b,b,14,k,a,a,5,15,b,3.724885506,3.945745585,3.957420699,3.992100297,4.599954428,4.337362962,4.544789047,4.00498571,4.029735504,3.991403243,3.935452502,3.944777884,5.018884679,4.039580635,4.240611559,4.014364698
17,1,a,a,0,0,0,d,b,20,a,b,0,34,a,21,b,1,2,a,4,a,1,a,a,14,c,a,b,10,15,b,4.041636477,4.01820237,4.199601087,3.992100297,3.035159656,3.062433287,3.235159646,4.121576051,4.029735504,4.01037389,4.116537882,4.01753988,3.480424021,4.039580635,3.875914521,4.014364698
0,10,b,a,0,0,12,d,b,8,c,a,1,63,i,18,f,1,0,a,6,a,1,b,a,5,b,a,b,15,18,b,3.724885506,4.01820237,4.199601087,3.992100297,3.537367733,3.638751344,3.795033168,4.00498571,4.029735504,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,4.014364698
18,5,a,a,0,0,8,d,b,16,d,c,1,89,r,18,i,3,2,a,5,b,1,b,a,5,f,a,b,15,18,b,4.041636477,4.01820237,4.199601087,3.992100297,4.599954428,3.749206554,4.544789047,4.711941898,4.029735504,3.991403243,3.935452502,4.01753988,4.61916559,4.039580635,3.875914521,4.014364698
5,0,a,b,0,1,4,e,b,10,d,a,1,84,r,8,g,1,2,b,2,a,1,b,b,20,h,c,b,5,18,b,4.041636477,3.945745585,3.957420699,3.992100297,4.599954428,3.638751344,4.544789047,4.391946448,3.972195449,4.01037389,3.935452502,3.944777884,4.530829172,3.186661445,3.875914521,4.014364698
17,1,b,a,0,2,10,a,b,16,c,f,1,22,a,13,c,1,0,b,3,b,1,b,a,9,j,a,b,15,6,a,3.724885506,4.01820237,3.821227377,3.992100297,3.537367733,4.337362962,3.235159646,3.693053328,3.972195449,3.991403243,3.935452502,4.01753988,3.92224524,4.039580635,3.875914521,3.977557721
6,10,a,a,0,4,2,e,b,18,a,f,1,63,c,16,f,2,1,a,3,a,1,b,a,8,b,f,b,15,9,b,4.041636477,4.01820237,3.957420699,3.992100297,3.035159656,4.337362962,2.725832753,4.00498571,4.029735504,4.01037389,3.935452502,4.01753988,3.325742752,2.41415559,3.875914521,4.014364698
18,6,c,b,0,3,10,d,b,17,c,h,1,86,b,16,f,3,3,b,5,a,1,b,b,5,b,a,b,10,6,b,4.151623752,3.945745585,4.199601087,3.992100297,3.537367733,4.312896885,3.07903989,4.00498571,3.972195449,4.01037389,3.935452502,3.944777884,3.325742752,4.039580635,3.875914521,4.014364698
17,6,b,a,0,1,18,d,d,17,d,c,1,50,k,17,f,3,0,a,3,a,1,b,a,6,g,a,b,0,15,b,3.724885506,4.01820237,4.199601087,3.81890334,4.599954428,3.749206554,4.583380534,4.00498571,4.029735504,4.01037389,3.935452502,4.01753988,4.485713424,4.039580635,3.875914521,4.014364698
15,6,a,a,0,3,4,e,b,18,d,a,3,67,k,7,g,3,5,b,5,b,1,b,a,19,f,a,b,5,15,a,4.041636477,4.01820237,3.957420699,3.992100297,4.599954428,3.638751344,4.583380534,4.391946448,3.972195449,3.991403243,3.935452502,4.01753988,4.61916559,4.039580635,3.875914521,3.977557721
19,5,a,b,0,5,12,e,d,16,c,b,1,62,b,13,c,1,1,a,5,a,2,b,b,5,b,a,b,10,3,b,4.041636477,3.945745585,3.957420699,3.81890334,3.537367733,3.062433287,3.07903989,3.693053328,4.029735504,4.01037389,3.935452502,3.944777884,3.325742752,4.039580635,3.875914521,4.014364698
2,6,a,a,0,1,15,a,b,13,c,f,1,28,a,18,f,1,2,a,6,a,1,a,a,14,b,a,b,5,0,a,4.041636477,4.01820237,3.821227377,3.992100297,3.537367733,4.337362962,3.235159646,4.00498571,4.029735504,4.01037389,4.116537882,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
20,5,a,a,0,1,3,e,b,4,c,h,1,51,i,11,a,1,9,b,0,b,2,d,a,16,b,a,a,10,15,b,4.041636477,4.01820237,3.957420699,3.992100297,3.537367733,4.312896885,3.795033168,3.127327437,3.972195449,3.991403243,3.707776095,4.01753988,3.325742752,4.039580635,4.240611559,4.014364698
1,10,a,a,0,1,8,a,b,15,d,f,1,30,n,8,i,3,1,a,0,a,1,b,a,4,h,a,b,5,15,a,4.041636477,4.01820237,3.821227377,3.992100297,4.599954428,4.337362962,4.65852624,4.711941898,4.029735504,4.01037389,3.935452502,4.01753988,4.530829172,4.039580635,3.875914521,3.977557721
19,10,a,b,0,1,13,c,b,14,c,f,3,92,e,16,f,6,0,b,0,b,1,b,b,9,d,c,d,10,18,b,4.041636477,3.945745585,4.231280828,3.992100297,3.537367733,4.337362962,3.811011832,4.00498571,3.972195449,3.991403243,3.935452502,3.944777884,4.526447679,3.186661445,3.899052176,4.014364698
17,10,b,a,0,2,14,a,b,16,c,f,2,45,i,10,c,3,0,b,1,a,1,d,a,9,b,a,b,10,18,a,3.724885506,4.01820237,3.821227377,3.992100297,3.537367733,4.337362962,3.795033168,3.693053328,3.972195449,4.01037389,3.707776095,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
15,6,b,a,0,2,0,e,b,20,d,b,0,22,r,11,f,0,0,a,6,b,2,c,a,10,g,a,b,5,18,a,3.724885506,4.01820237,3.957420699,3.992100297,4.599954428,3.062433287,4.544789047,4.00498571,4.029735504,3.991403243,6.533915954,4.01753988,4.485713424,4.039580635,3.875914521,3.977557721
6,5,a,a,0,1,5,e,d,0,c,a,0,41,b,9,a,0,0,b,4,a,3,d,a,4,b,a,b,5,0,b,4.041636477,4.01820237,3.957420699,3.81890334,3.537367733,3.638751344,3.07903989,3.127327437,3.972195449,4.01037389,3.707776095,4.01753988,3.325742752,4.039580635,3.875914521,4.014364698
16,5,a,a,0,0,5,e,b,1,c,a,1,24,b,8,a,1,0,a,0,a,3,b,a,2,b,a,b,10,18,b,4.041636477,4.01820237,3.957420699,3.992100297,3.537367733,3.638751344,3.07903989,3.127327437,4.029735504,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,4.014364698
12,5,a,b,0,3,7,c,b,5,d,h,1,49,r,18,g,6,0,a,2,a,1,b,b,7,f,a,d,15,6,b,4.041636477,3.945745585,4.231280828,3.992100297,4.599954428,4.312896885,4.544789047,4.391946448,4.029735504,4.01037389,3.935452502,3.944777884,4.61916559,4.039580635,3.899052176,4.014364698
6,10,a,a,0,2,3,d,b,17,e,f,1,83,k,8,i,1,10,b,5,a,1,b,a,17,f,b,b,15,12,b,4.041636477,4.01820237,4.199601087,3.992100297,4.537016496,4.337362962,4.583380534,4.711941898,3.972195449,4.01037389,3.935452502,4.01753988,4.61916559,5.39119517,3.875914521,4.014364698
10,6,a,a,0,1,3,e,b,17,c,f,2,47,b,5,a,3,3,a,1,a,2,b,a,12,b,a,b,15,12,a,4.041636477,4.01820237,3.957420699,3.992100297,3.537367733,4.337362962,3.07903989,3.127327437,4.029735504,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
20,5,a,a,0,2,13,a,b,0,a,e,1,91,d,25,c,1,3,b,6,a,3,b,a,6,a,a,b,5,15,a,4.041636477,4.01820237,3.821227377,3.992100297,3.035159656,4.71276917,3.863907719,3.693053328,3.972195449,4.01037389,3.935452502,4.01753988,3.10256098,4.039580635,3.875914521,3.977557721
18,6,b,a,0,1,6,d,b,15,c,e,0,79,a,6,a,0,0,b,6,b,3,b,a,3,j,a,b,5,18,b,3.724885506,4.01820237,4.199601087,3.992100297,3.537367733,4.71276917,3.235159646,3.127327437,3.972195449,3.991403243,3.935452502,4.01753988,3.92224524,4.039580635,3.875914521,4.014364698
15,6,a,a,0,5,1,e,b,21,d,b,0,47,r,24,i,3,0,b,6,a,2,b,a,6,h,a,b,0,18,b,4.041636477,4.01820237,3.957420699,3.992100297,4.599954428,3.062433287,4.544789047,4.711941898,3.972195449,4.01037389,3.935452502,4.01753988,4.530829172,4.039580635,3.875914521,4.014364698
12,6,a,a,0,1,7,a,b,20,c,f,1,31,b,13,f,1,0,a,3,a,2,b,a,5,b,a,b,5,12,a,4.041636477,4.01820237,3.821227377,3.992100297,3.537367733,4.337362962,3.07903989,4.00498571,4.029735504,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
22,1,a,a,0,0,11,e,b,20,c,h,2,74,d,18,c,2,9,b,4,a,1,b,a,12,j,a,b,0,9,b,4.041636477,4.01820237,3.957420699,3.992100297,3.537367733,4.312896885,3.863907719,3.693053328,3.972195449,4.01037389,3.935452502,4.01753988,3.92224524,4.039580635,3.875914521,4.014364698
7,10,a,a,0,4,12,e,b,17,d,f,0,43,r,13,i,1,0,b,6,a,3,b,a,5,h,a,b,15,18,b,4.041636477,4.01820237,3.957420699,3.992100297,4.599954428,4.337362962,4.544789047,4.711941898,3.972195449,4.01037389,3.935452502,4.01753988,4.530829172,4.039580635,3.875914521,4.014364698
13,0,b,b,0,2,7,e,d,0,c,f,1,50,b,15,a,1,0,a,2,a,1,c,b,10,b,a,b,15,6,b,3.724885506,3.945745585,3.957420699,3.81890334,3.537367733,4.337362962,3.07903989,3.127327437,4.029735504,4.01037389,6.533915954,3.944777884,3.325742752,4.039580635,3.875914521,4.014364698
2,5,a,a,0,1,17,a,b,4,d,f,1,38,n,8,i,3,1,a,2,a,1,b,a,10,f,b,b,5,18,a,4.041636477,4.01820237,3.821227377,3.992100297,4.599954428,4.337362962,4.65852624,4.711941898,4.029735504,4.01037389,3.935452502,4.01753988,4.61916559,5.39119517,3.875914521,3.977557721
7,5,a,a,0,4,0,c,b,20,c,b,1,39,b,14,a,1,3,b,5,b,1,b,a,12,b,f,b,5,9,b,4.041636477,4.01820237,4.231280828,3.992100297,3.537367733,3.062433287,3.07903989,3.127327437,3.972195449,3.991403243,3.935452502,4.01753988,3.325742752,2.41415559,3.875914521,4.014364698
3,10,b,a,0,2,6,a,b,6,e,a,0,44,p,8,f,1,0,a,2,b,2,b,a,8,f,a,b,5,15,a,3.724885506,4.01820237,3.821227377,3.992100297,4.537016496,3.638751344,4.988862618,4.00498571,4.029735504,3.991403243,3.935452502,4.01753988,4.61916559,4.039580635,3.875914521,3.977557721
17,6,a,a,0,1,4,e,b,18,c,b,0,43,g,8,a,0,0,b,4,b,1,c,a,4,a,a,b,5,15,b,4.041636477,4.01820237,3.957420699,3.992100297,3.537367733,3.062433287,4.1032205,3.127327437,3.972195449,3.991403243,6.533915954,4.01753988,3.10256098,4.039580635,3.875914521,4.014364698
8,10,a,b,0,4,8,a,b,20,d,f,0,41,k,19,i,0,2,b,2,a,1,b,b,11,f,a,b,10,15,a,4.041636477,3.945745585,3.821227377,3.992100297,4.599954428,4.337362962,4.583380534,4.711941898,3.972195449,4.01037389,3.935452502,3.944777884,4.61916559,4.039580635,3.875914521,3.977557721
9,6,a,a,0,3,5,a,b,20,c,a,1,61,b,8,a,2,2,b,6,a,1,b,a,8,b,a,b,5,9,a,4.041636477,4.01820237,3.821227377,3.992100297,3.537367733,3.638751344,3.07903989,3.127327437,3.972195449,4.01037389,3.935452502,4.01753988,3.325742752,4.039580635,3.875914521,3.977557721
20,1,b,a,0,0,11,e,b,6,c,b,1,37,e,16,c,1,0,a,2,b,1,c,a,2,j,a,b,5,18,b,3.724885506,4.01820237,3.957420699,3.992100297,3.537367733,3.062433287,3.811011832,3.693053328,4.029735504,3.991403243,6.533915954,4.01753988,3.92224524,4.039580635,3.875914521,4.014364698
13,1,a,a,0,1,10,e,b,19,d,f,1,70,k,16,i,1,1,b,6,b,1,b,a,3,f,a,b,15,12,b,4.041636477,4.01820237,3.957420699,3.992100297,4.599954428,4.337362962,4.583380534,4.711941898,3.972195449,3.991403243,3.935452502,4.01753988,4.61916559,4.039580635,3.875914521,4.014364698
17,10,a,b,0,0,12,e,b,6,e,f,0,79,r,11,i,0,11,a,3,b,1,b,a,21,f,a,b,5,18,b,4.041636477,3.945745585,3.957420699,3.992100297,4.537016496,4.337362962,4.544789047,4.711941898,4.029735504,3.991403243,3.935452502,4.01753988,4.61916559,4.039580635,3.875914521,4.014364698
